"sitename","postcode"
"Goods Corner","EH16 6FU"
"Portsburgh Court, Edinburgh","EH3 9DH"
"New Park","EH7 5PR"
"Panmure Court, Edinburgh","EH8 8DP"
"Darroch Court","EH8 9TS"
"Vita Student Edinburgh - Fountainbridge","EH3 9QG"
"Meadow Court","EH9 1NH"
"Kincaid's Court","EH1 1JT"
"Riego Street","EH3 9BL"
"Deaconess","EH8 9RR"
"Beaverbank Place","EH7 4FB"
"iQ Fountainbridge","EH11 1AB"
"O'Shea North","EH8 8AE"
"Morgan Court","EH8 9TS"
"Bainfield","EH11 1AR"
"Arran House","EH11 1FA"
"27 King's Stables Road","EH1 2JY"
"Turner House","EH16 5AY"
"Kitchener House","EH16 5QH"
"Lord Home Hall","EH14 4AS"
"The Mill House","EH11 2BF"
"Hunter Hall","AB21 9YA"
"Mary Fergusson","EH14 4AS"
"Holland Annexe","EH16 5AY"
"Ewing House","EH16 5AY"
"Chancellors Court","EH16 5AY"
"Roxburgh Place","EH8 9ST"
"Ratcliffe Terrace","EH8 9QP"
"Lee House","EH16 5AY"
"Baird House","EH16 5AY"
"Grant House","EH16 5AY"
"Robin Smith Hall","EH14 4AS"
"Muriel Spark","EH14 4AS"
"Canal Point","EH3 9QW"
"Hermit's Croft","EH9 1QP"
"East Newington Place","EH9 1QP"
"Holland House","EH16 5AY"
"Blackfriars Street","EH1 1NE"
"Orwell Terrace","EH11 2DT"
"iQ Grove","EH3 8FD"
"Christina Miller Hall","EH14 4AS"
"Sutton Hall","AB21 9YA"
"200 Cowgate","EH1 1NQ"
"South Clerk Street","EH9 1QP"
"Fraser Court","EH16 5AU"
"Mylnes Court","EH1 2PF"
"John Burnett House","EH16 5AY"
"Robert Bryson Hall","EH14 4AS"
"College Wynd","EH1 1JT"
"Blackwood Crescent/Causewayside","EH9 1QP"
"Oatridge","EH52 6NH"
"Robertson's Close","EH1 1LY"
"Sciennes","EH9 1NJ"
"Anna Macleod","EH14 4AS"
"Salisbury Court","EH8 9RD"
"Warrender Park Road","EH9 1DY"
"Slateford Road","EH11 1FE"
"Lord Thomson Hall","EH14 4AS"
"New Arthur Place","EH8 9RR"
"Elmwood Campus","KY15 4JB"
"Student Castle Edinburgh","EH9 1PH"
"Gateway Apartments","EH7 5BH"
"Nido Haymarket","EH11 2EE"
"Sugarhouse Close","EH8 8FF"
"Contemporary Studios - Postgraduate","EH14 4AS"
"The Bridge House","EH3 9QG"
"Brae House","EH8 8EH"
"ELS House Information","EH11 3LE"
"Shrubhill House Information","EH7 4QW"
"Mackie Hall","AB21 9YA"
"Ascham Court (Archers Hall)","EH8 9LR"
"Murano Information","EH7 5FL"
"iQ Elliott House","EH7 5EA"
"Edinburgh College Residences Information","EH5 1QE"
"West Mains Road","EH9 3JE"
"The Old Printworks","EH8 9NX"
"Buccleuch Street Information","EH8 9NS"
"Chalmers Street","EH3 9FE"
"O'Shea South","EH8 8AJ"
"Morrison Circus","EH3 8DX"
"28 & 34 Wrights Houses","EH10 4HR"
